document_id,clean_text,sentiment
1,"Synopsis: The film invests significant time in world-building but falls short of captivating the audience within its narrative.First half: The initial segment is rather mediocre. While the Interval block attempts to instill excitement, the audience struggles to connect with the story from the outset. The buildup feels somewhat excessive.Second half: Exhaustive. A substantial twist at the end sets the stage for part 2, but its impact is diminished by a desire for the film to conclude. The prolonged buildup doesn't adequately match the actual scenes, resulting in a sense of loud anticipation that one wishes to end. Trimming 30 minutes from the 3-hour runtime would have made it a more engaging watch.Background music is subpar, excessively loud, creating an unwanted auditory experience. The songs merely exist without evoking much interest.Final verdict: ""Salaar"" is a film worth exploring when time permits. It has its moments of attraction, but overall, it delivers a rather lackluster cinematic journey.",Neutral
2,"Salaar has been my most-awaited film for 2023. It ticks most of the boxes for the mass movie fan in me: A mass movie focused on a single character dominance, Neel directorial which is usually a no-nonsense action movie with cracking goosebump scenes and a much awaited comeback for Prabhas who is tailor made for characters like this amongst other things. Salaar somehow touches most of these boxes but does not check it wholeheartedly.I will approach this review differently by describing how different aspects of the movie works but falls short somehow:The Plot/Story:
This is definitely the most complex storyline of a Prashant Neel movie. While the plot gets really interesting towards the end, you tend to realize that a lot of time was wasted in the first half for no good reason. Eventually the movie leaves a lot to be explored in Part 2 but I feel there could be too much left to show in Part 2 and I'm afraid there is going to be a tough job for editors. It is also quite a risky move to have not even planned to shoot Part-2 yet (which Neel has admitted in interviews) with so much left to be told.The Action:
Finally Prabhas gets his groove back with the action sequences which perfectly suit his body language. There are some great creative choices on some of the action scenes which are definitely bound to get cheers in the cinema halls although they aren't entirely logical. There are creative killings which justify the A rating but they were definitely not necessary for the plot, not that I'm complaining. But I would have definitely loved to see some more physical effort from the lead characters for some of the action scenes. At times it is just too cool and too easy.Screenplay:
Prashant Neel's strength has been screenplay over the storyline in his past movies but in Salaar it is the other way around. The movie does follow the traditional way of telling flashback stories like most mass movies but as the movie gets close to the end, there is no payback to the flashback narration. The movie ends like an interval scene which we have seen in most of the mass movies. This ending makes the first half screenplay seem pretty odd.Dialogues:
Neel's previous works have always boasted of minimal but impactful dialogues. While Uggram had some of the best written Kannada lines, KGF had very quirky and mass one liners especially with a good mix of Hindi. There aren't any trademark dialogues in Salaar which will etch in one's memory but Prabhas and Prithwiraj's does have some fun one liner exchanges. Those also serve as the little humour element in this movie. Dialogues are well written but it is not something you'd remember it for years to come.Music and Background Score:
Most of us were already slightly disappointed with the background score of Ravi Basrur in KGF 2 as compared to KGF 1. Unfortunately the background score doesn't really match up to Prabhas' screen presence and build up for most parts in the first half, especially for his introduction sequence. The music and background score does get better in the second half and there's a 'main theme music' which could have been made better use of in the first half as well. Overall, the background score falls short of creating some major goosebump moments leading up to the fight.Cinematography, Editing and Visuals:
Bhuvan Gowda continues his stellar form with some great shots and he manages to showcase Prabhas at his best. Aerial shots and shots of the city landscape totally reminds you of KGF 2 in many parts but not in a bad way. The visual effects team have done a great job in showcasing completely imaginary cities, towns and walls. The choice of using Neel's favourite dark-tone does seem excessive at times. Dare I say that they also have done a good job in digitally modifying Prabhas' looks in some scenes, and yes it is evident. While the action sequences are edited well, the same cannot be said about the shifts that we experience in some of the dramatic sequences. While the set design of Khansaar kingdom does remind you of many hollywood movies, the hair and make-up department has done an exceptional job in making each character stand out.Performances:
Neel manages to explore Prabhas' strengths perfectly by writing a role which involves him being the quiet and dangerous hero. Prabhas' performance does remind one of his Chatrapathi and other mass movie days without the unnecessary comedy and duet numbers. This is definitely the much needed comeback for Prabhas. Prithwiraj does excel as Varada Raja Mannar but at least for Part 1 there isn't any USP element for his role which makes him stand out or explore his strengths. Apart from these two, there is a plethora of supporting characters of which most of them have done nothing but justice to their role. Sriya Reddy, Bobby Simha, Garuda Ram, Madhu Guruswamy, Pramod Panju and Tinu Anand are some of the highlight performers. Of course special mention to Naveen Shankar who even with a very little screen presence makes a major impact and I am quite excited to see him in part-2. Just like the other Neel movies, we do have some creative choices for character and family names.Uggram Connection (Extra):
A lot has been discussed about this movie being a remake of Uggram, but let me assure you it's not. However Neel has straight up taken some scenes and moments from Uggram and recreated them here. He does have the creative freedom to do that considering its his own work but I personally feel that he should have admitted that to the Kannada audience. I could here some gasps of disappointment in the theatres for some of the exact scenes.Overall, Salaar makes for an almost satisfying theatrical experience but it leaves a lot of things open-ended. While it does deliver on the promise of a violent action film, it somehow fails to connect much at an emotional level. Neel continues to show how good he is at doing what he does but I feel that he does not really justify the time he has invested to bring this dinosaur finally out of its hideout.",Positive
3,"This time Prashanth's magic didn't worked out. As KGF holds up to Prashanths narration style plus Yash acting levels, Salaar has lot of dependency only on Prabhas(REBEL STAR). Story wasn't quiet interesting but elevations about second part in the movie gets the attention. Children singing song+seeking help from God+then Hero fight scenes are completely outdated. If this kind of screenplay continues its no more mass instead it makes us bore and looks like a comic. Please don't do this Mr. Neel garu.Just Prabhas makes the run time looks OK.Prabhas entry to KHANSAR: 🔥bgm remind me something like i am watching a MARVEL hero.For me personally the mother character role Eshwari garu performed little over-acting.Though the movie stood like a feast for mass fanzzz still it doesn't has much potential as expected. When i first watched kgf-1 i didn't liked it because of over hype back voice twlling about Yash but it was ok since it's all about introduction to Hero character likewise i hv satisfaction level about S🔥L🔥🔥R part 1.",Neutral
4,No review text,Neutral
5,"Full of action and storylines.If you like action movie then you definitely gonna love this movie.Thrill and goosebumps in every action entry of prabhas. The violent prabhas is back on track.Action scenes are too good. Every character has done great job. Shruti Hassan's work is good but not too good.Next level of friendship has been shown. Prithviraj is too good, all the negative character roles has been done quite differently. It is not related to kgf but it gives kgf vibes also. I hope its part two will have much more than thisIt contains violence violence.If you want to see a drama, action, and if you want suspense, thriller then you must see this movie.",Positive
6,"There is no reason or point to watch the first half. Movie can directly start from the 2nd half.The pace of the film rises too fast in the 2nd half. This literally creates confusion in plot.The direction and BGM is far better in KGF.Being a pan-India and a broad film, the director must spend some time on VFX works. The VFX is too poor in some sequences, which will not make a quality film. Actors did a great work, the presence of PRABHAS filled the theatres.A commercial film.I am really waiting for the drama in khansar. The entire drama will be similar to GoT.The overall verdict - Watch it to watch SALAAR 2.",Positive
7,No review text,Neutral
8,"Neon-drenched action and pulsating music ignite Prashanth Neel's Salaar, but beneath the dazzling surface lies a narrative wasteland. While fleeting moments of potential flicker in supporting performances, the film ultimately stumbles under the weight of its own bombast, failing to connect with audiences on an emotional level.Neel's penchant for spectacle over substance permeates the film. Thundering soundtracks and flamboyant set pieces mask a predictable plot built on overused tropes like ""friends turned enemies."" The narrative, echoing Neel's previous work, feels reheated and lacks the thematic depth and emotional resonance that captivated audiences in KGF.Prabhas, burdened by a stoic script, becomes a passive observer in his own film. His slow-motion walks and unemotional delivery fail to inject depth into the protagonist, leaving viewers struggling to connect with him or his motivations. The supporting cast, however, fares better. Prithviraj and Shriya Reddy deliver nuanced performances, hinting at the complexities their characters could have possessed had the script delved deeper.Action sequences, despite their visual flair, remain emotionally hollow. They roar with bombast but lack the raw power and thematic weight that fueled the fights in KGF. Neel throws spectacle at the screen, but it's like empty confetti - flashy and fleeting, leaving nothing behind but a sense of disappointment.Salaar's greatest sin lies not in its flaws, but in its missed potential. Glimpses of a compelling story, exploring complex relationships and emotional turmoil, flicker briefly before being extinguished by the film's relentless pursuit of spectacle. These fleeting moments serve as a painful reminder of what Salaar could have been, a film that resonated with audiences on a deeper level than mere visual thrills.Ultimately, Salaar is a disappointing detour for Neel.It descends from the raw power of KGF into a hollow spectacle, devoid of the emotional core and thematic depth that made his previous work so impactful. While sparks of potential glimmer in the supporting performances, they're not enough to salvage the overall underwhelming experience. Skip Salaar and revisit KGF for a more fulfilling encounter with Neel's directorial talent.",Positive
9,"The movie is a disappointing example of Telugu cinema's lack of originality. The first half of the movie has no clear story line and confuses the audience. It feels like random video clips are stitched together and the audience has to fill in the gaps. Some parts are so dragged out that the audience loses interest in the point. The second half of the movie is a poor imitation of Game of Thrones, with exaggerated characters and unnecessary violence. Shruthi Hasan's role is irrelevant and perplexing. The movie tries to copy the storyline where the Targaryen children are killed, but with Prabhas' tribe instead. Ultimately I was completely able to relate Prabas to John snow. The directors have wasted a huge budget on a movie that lacks creativity and coherence.",Negative
10,"Great Drama and acting. The first part has that punch that the audience is looking for, and 2nd half is full of drama and action with great storytelling in the background. Characters are clearly defined, and imagination to create the film needs to be greatly appreciated. Dev and vardha are incredible, especially their humor during the action sequence and they carry forward their friendship is the big highlight to the movie. Action sequence and background score is also an other highlight to the movie. A big thank you to the director for his vision and creativity. Eagerly looking forward for the next part of the movie.",Positive
